Judul Berita,Label
"
Perpanjangan Kontrak Vale 20 Tahun di RI Diproses, Ini Bocorannya
",Positif
"
Antisipasi Mudik Lebaran, Pertamina Siapkan SPBU-Agen LPG Tambahan
",Positif
"
Vale Garap 3 Proyek Nikel di Sulawesi, Smelter Rampung 2026
",Positif
"
Pemantauan Kesiapan Stok BBM Jelang Lebaran
",Netral
"
Bocoran Hasil Pertemuan Bos Besar Freeport dengan Jokowi di Istana
",Netral
"
Catat! Potongan Pajak Gaji Bisa Dicek, Lebih Bayar Tagih ke Kantor
",Netral
"
Terkuak Alotnya Negosiasi Tambahan 10% Saham Freeport buat RI
",Negatif
"
Potret Sibuknya Pengiriman Barang Jelang Lebaran
",Netral
"
Apa Perbedaan Kripto dan Bitcoin? Pahami Sebelum Berinvestasi
",Netral
"
Vale Tunggu IUP Khusus Terbit, Singgung Koordinasi ESDM & BKPM
",Netral
"
WIKA Pastikan Tol Serang-Panimbang Aman Dilewati Pemudik, Ini Daya Tariknya
",Positif
"
Bahlil Ungkap Tak Bisa Cuma Dirinya Aktifkan IUP yang Dicabut, Ada Tim Satgas
",Netral
"
Pengecatan Marka Jalan Pantura untuk Mudik Aman
",Netral
"
4 SPBU Nakal Ditutup, Pemeriksaan Polisi Masih Berjalan
",Negatif
"
Kemenhub Minta Warga Tak Beli Tiket Mudik Gratis di Calo!
",Negatif
"
Untung Rp 214 M, Adhi Karya Tak Bagi Deviden ke Pemegang Saham
",Negatif
"
YUKK Payment Gateway Targetkan Transaksi QRIS di JakCloth 2024 Meningkat
",Positif
"
Satgas Sita Aset Pengemplang BLBI, Kali Ini Senilai Rp 257 Miliar
",Positif
"
Bos Adhi Karya Buka Suara Soal Rencana Penggabungan BUMN Karya
",Netral
"
Menteri PUPR Jamin PIK 2 & BSD Tak Pakai Duit Negara Meski Masuk PSN
",Netral
"
Jurus YUKK Payment Gateway Jamin Transaksi QRIS di JakCloth Aman
",Netral
"
Berlaku Juli 2024, Hampir Semua NIK Sudah Jadi NPWP
",Netral
"
Adhi Karya Terima Pembayaran LRT Jabodebek Rp 4,1 T, Masih Kurang Rp 2,2 T
",Netral
"
Malaysia Gratiskan Tol Saat Mudik Lebaran, Kok RI Nggak Ikutan?
",Negatif
"
LRT Jabodebek Alami Masalah Pengereman, Kini Sedang Diperbaiki
",Negatif
"
Diskon Tarif Tol Tangerang-Merak, Cikopo-Palimanan, hingga Jombang-Mojokerto
",Positif
"
Pertamina Siagakan Satgas RAFI 2024
",Netral
"
Rp 31 Triliun Duit Negara Sudah Mengalir buat THR PNS-Pensiunan
",Positif
"
Anggota DPR Minta Bahlil Cabut Izin Tambang yang Terkait Suami Sandra Dewi
",Negatif
"
Bahlil Jawab Faisal Basri yang Jadi Saksi di MK soal Politisasi Bansos
",Netral
"
Bentuk Satgas RAFI, Pertamina Pastikan Stok BBM Aman Selama Libur Lebaran
",Positif
"
7 Ruas Tol Baru Dibuka Fungsional buat Mudik Lebaran
",Positif
"
Libur Idul Fitri, BSI Siapkan Uang Tunai Rp 45 Triliun
",Positif
"
Rekor Terbesar dalam Sejarah! Kemenag Buka 110.553 Lowongan CPNS dan PPPK
",Positif
"
Ternyata Ini 3 Biang Kerok Produksi Beras RI Turun
",Negatif
"
Anggota DPR Doakan Basuki Masuk Kabinet Pemerintahan Berikutnya
",Netral
"
Basuki Harap Sri Mulyani Setujui Dana Rp 15 T buat Perbaiki Jalan Rusak
",Netral
"
Dukung Efisiensi-Pemerataan Solar, KB Bank Luncurkan Fuel Card Solar Subsidi
",Positif
"
Zulhas Terbitkan Izin Impor Bawang Putih 300 Ribu Ton, Kok Harga Masih Mahal?
",Negatif
"
Bahlil Pamer Selesaikan Investasi Mangkrak Rp 558 Triliun
",Positif
"
Basuki Buka-Bukaan Perintah Jokowi di 2024: Benahi 32 Pasar dan Stadion MU
",Netral
"
Pemerintah Siapkan Rp 35,45 T buat Infrastruktur Dasar IKN, Ini Rinciannya
",Netral
"
Garuda Raup Laba Rp 4 Triliun, Ini Pemicunya
",Positif
"
Bahlil Bongkar Alasan Cabut 2.051 Izin Tambang
",Negatif
"
Heboh Dugaan Upeti Tambang, Bahlil Jelaskan Ini ke DPR
",Negatif
"
Ngeri... Harta Warga Hong Kong Dikuras Rp 276 M dalam Seminggu Gegara Ini
",Negatif
"
Maybank Indonesia Siap Tebar Dividen Rp 785 M
",Positif
"
Jokowi Target 16 Ruas Tol Trans Sumatera Rampung di Akhir 2024
",Positif
"
Bayang Inflasi Jelang Idul Fitri
",Negatif
"
Basuki Pamer Pembangunan Infrastruktur Dasar IKN Rp 24,97 T, Apa Saja?
",Netral
"
Hati-hati! Marak Info Loker Bodong Atas Nama Telkom, Ini yang Benar
",Negatif
"
Kunjungan Turis Asing di RI Naik, tapi Belum Lewati Masa Sebelum COVID-19
",Netral
"
BAZNAS RI Tetapkan Besaran Zakat Fitrah 2024 Rp 45 Ribu
",Netral
"
Nasabah Ngeluh Transfer BI Fast M-Banking Eror, Begini Penjelasan BCA
",Negatif
"
Asyik! Pengusaha Ungkap Sinyal Harga Beras Mulai Turun
",Positif
"
Rupiah Digencet, Dolar AS Nyaris Tembus Rp 16.000!
",Negatif
"
Masihkah Orang RI Beli HP Baru buat Lebaran? Ini Kata Pedagang
",Netral
"
151 Sapi Impor Australia Mati saat Dikirim ke RI, Stok Aman Nggak Nih?
",Negatif
"
Balon Udara Bisa Bahayakan Penerbangan, Kemenhub Wanti-wanti Ini
",Negatif
"
Perusahaan Tak Bayar THR? Pekerja Bisa Lapor ke Sini!
",Negatif
"
Harga Minyak Dunia Naik Gegara Produksi Dipangkas hingga Manufaktur China
",Negatif
"
Pemerintah Resmi Suntik Modal Rp 6 T ke Wijaya Karya, Buat Apa?
",Positif
"
BPS Ungkap Beras Masih Mahal di Tingkat Konsumen, Tertinggi Sejak 2011
",Negatif
"
Cara Cek Tarif Tol Jelang Mudik Lebaran 2024
",Netral
"
Mau Mudik Lewat Jalur Selatan? Intip Dulu Potretnya di Sini
",Netral
"
Transfer BI Fast di M-Banking BCA Eror!
",Negatif
"
Teten Minta Wajib Sertifikat Halal buat UMKM Ditunda, Mau Ketemu Mendag
",Negatif
"
Ada Menu Buka Puasa hingga Baju Anak Murah Lho, Langsung Datang ke Sini
",Positif
"
Dunia Virtual Online Resmi Melantai di BEI
",Positif
"
BPS Beberkan Inflasi Ramadan 2024 'Agak Lain', Ini Buktinya!
",Netral
"
Terminal Tanjung Priok Mulai Ramai Pemudik
",Netral
"
Tarif Listrik yang Berlaku Per 1 April 2024, 900 VA hingga 6.600 VA
",Netral
"
IFG Life Resmi Disuntik Modal Rp 3,56 T Buat Rampungkan Polis Jiwasraya
",Positif
"
Naik Lagi, Utang Pemerintah di Februari 2024 Tembus Rp 8.319 Triliun
",Negatif
"
Malaysia Gratiskan Tarif Tol 8-9 April saat Mudik Lebaran
",Positif
"
Inflasi Ramadan 0,52%, Telur hingga Beras Jadi Pemicunya
",Negatif
"
BPS Catat Inflasi Ramadan 0,52%
",Netral
"
Zulhas: Harga Beras Sudah Turun Rp 3.000, Nggak Naik Lagi!
",Positif
"
Gelar RUPST, CIMB Niaga Finance Bagikan Dividen
",Positif
"
Harga Emas Hari Ini Cetak Rekor Tertinggi Sepanjang Sejarah!
",Positif
"
Tarif Tol Jakarta-Semarang PP Diskon 20%, Ini Ketentuannya
",Positif
"
Awas Penipuan! Beredar Undangan Rekrutmen Pegawai KAI Bodong
",Negatif
"
Bank Daerah Catat Layanan Digital Makin Digandrungi Nasabah, Ini Contohnya
",Positif
"
Warga Berburu Buah dan Menu Berbuka di Mal
",Netral
"
Tarif Promo LRT Jabodebek Diperpanjang, Waktu Tunggu Paling Cepat 6 Menit
",Positif
"
Perbandingan Harga BBM Pertamina, Shell, BP, dan VIVO, Mana Lebih Murah?
",Netral
"
Tarif Promo LRT Jabodebek Diperpanjang hingga Akhir Mei! Cek Rinciannya
",Positif
"
Jelang Lebaran, Produksi Cakalang Asap Meroket di Gorontalo
",Positif
"
Turunkan Harga BBM, SPBU VIVO Jual 'Pertalite' Rp 12.800/Liter
",Positif
"
Resmi Mejeng di Bursa, Saham Perusahaan Data Center Ini Naik 25%
",Positif
"
Kepala Bapanas Mau Bahas Harga Gabah, Bakal Naik atau Turun?
",Netral
"
Tekan Emisi, PLTU Adipala di Cilacap Bakal Jadi Hutan Tanaman Energi
",Netral
"
IHSG Dibuka Melempem Usai Akhir Pekan, Begini Pergerakannya
",Netral
"
Didenda Rp 173 T, Raja Kripto Sam Bankman Diramal Tak Mampu Bayar Seumur Hidupnya
",Negatif
"
71 Ribu Kendaraan Per Hari Diprediksi Melewati GT Kalikangkung saat Mudik
",Netral
"
Ada Diskon 20% Tiap Hari buat Produk Fresh, Yuk Merapat ke Transmart!
",Positif
"
Shell & BP Turunkan Harga BBM, Ini Daftar Terbarunya
",Positif
"
Yayasan Penyalur Suster Anak Aghnia Punjabi Ternyata Tak Berizin
",Negatif
"
Lapor SPT Orang Pribadi Sudah Ditutup, yang Belum Siap-siap Kena Denda Ini!
",Negatif
"
Catat! Mulai Hari Ini Tak Ada Lagi Program Keringanan Kredit Imbas COVID-19
",Negatif
"
Jelang Mudik Lebaran, Permintaan Oleh-oleh Khas Brebes Melonjak
",Positif
"
Pemudik Lewat Laut Diprediksi Membeludak, Pelabuhan Siap?
",Negatif
"
BTN Prioritas Semarakan Indonesia Fashion Week 2024
",Netral
"
Harga BBM yang Berlaku Per 1 April 2024, Pertalite hingga Pertamax
",Netral
"
Siapa Pemilik Biskuit Khong Guan yang Selalu Ada saat Lebaran?
",Netral.
"
Dulu Buruh, Pria Ini Banting Tulang Bisnis Keripik hingga Beromzet Puluhan Juta
",Positif
"
Borong Penghargaan Bergengsi di Digital Brand Recognition
",Positif
"
Lengkap! 14 Ruas Tol Dapat Diskon Lebaran hingga Masa Berlakunya
",Positif
"
Cinema XXI Ganti Dirut hingga Tebar Dividen Rp 666 Miliar
",Positif
"
Terkuak Nasib 15 BUMN Sakit yang Kini Lagi Dirawat
",Negatif
"
Berbagi Keberkahan di Bulan Ramadan
",Netral.
"
Bos PT Timah Ungkap Produksi Turun 3 Tahun Berturut-turut
",Negatif
"
Kemenhub Buka Suara soal Brunei Mau Bikin Kereta Cepat Tembus IKN
",Netral
"
Jawaban Sri Mulyani soal Dipanggil MK Jadi Saksi Sidang Pilpres
",Netral
"
Bandara Dhoho Garapan Gudang Garam Mulai Operasi 5 April, Ini Rutenya
",Positif
"
Sedekah dan Zakat Kian Mudah Lewat M-Banking
",Positif
"
Penampakan Bandara Terbaru dan Terbesar di Kamboja
",Netral
"
3,5 Juta Kendaraan Diprediksi Lewat Tol Tangerang-Merak Selama Mudik
",Positif
"
Bos PT Timah Buka Suara soal Kerugian Lingkungan Rp 271 Triliun
",Negatif
"
Bank bjb Siap Tebar Dividen Rp 1 Triliun Lebih
",Positif
"
Bahlil Blak-blakan soal Tudingan Upeti Tambang dan Cabut Ribuan IUP
",Negatif
"
Jokowi Targetkan 16 Ruas Tol Trans Sumatera Beroperasi Akhir 2024
",Positif
"
Malaysia Gratiskan Tarif Tol Saat Lebaran, Indonesia Gimana?
",Netral
"
Sinyal Harga Beras Turun Kian Kencang
",Negatif
"
Harga BBM Pertamina Tetap Saat Shell-BP Kompak Turun, Mana yang Paling Murah?
",Netral
"
Mau Mudik Perlu Perlindungan Asuransi Nggak Sih?
",Netral
"
Telur Ayam hingga Beras Sumbang Inflasi Maret
",Negatif
"
Warga Ramai-ramai Berburu Baju Lebaran di Pusat Grosir Cililitan
",Positif
"
Penting buat Pemudik! Akumulasi Tarif Tol Merak, Jakarta, hingga Probolinggo
",Netral
"
Pemudik Diimbau Transaksi di SPBU Pakai Nontunai, Ini Alasannya
",Netral
"
Debitur Terdampak COVID-19 di Bank Mandiri Masuk Tahap Normalisasi
",Positif
"
Kemenparekraf: Perputaran Ekonomi Lebaran Capai Rp 276,11 Triliun
",Positif
"
Tebar Sembako ke Panti Asuhan, Berbagi kebaikan di Bulan Ramadan
",netral
"
Ini Dugaan Penyebab Tol Bocimi Longsor
",Netral
"
Kondisi Terkini Usai Longsor Tol Bocimi, Waskita Toll Road Turun Tangan
",Negatif
"
PT Timah Buka Suara Respons Kasus Korupsi yang Lagi Jadi Sorotan
",Negatif
"
HPP Gabah & Beras Naik hingga 30 Juni, Ini Rinciannya
",Negatif
"
BPKH Berikan Dana untuk Revitalisasi 20 Masjid dan Musala di Terminal
",Netral
"
Kempit 34% Saham Vale, MIND ID Dapat Jatah 2 Direksi
",Netral
"
Nadiem Buka Suara soal Perdagangan Orang Berkedok Magang ke Jerman
",Negatif
"
Menteri ESDM Diprotes Gara-gara RI Cuma Kempit Saham Vale 34%
",Negatif
"
Berburu Amplop Lebaran untuk Berbagi Rezeki
",Netral
"
Terungkap Rencana Vale Investasi Ratusan Triliun di Indonesia
",Positif
"
Ketua MPR Minta Pemerintah Atasi Tingginya Harga Avtur
",Negatif
"
Ternyata Ini Penyebab Tol di RI Nggak Bisa Gratis Saat Mudik Seperti Malaysia
",Negatif
"
Penampakan Simulasi Mudik di Tol Solo-Yogyakarta yang Dibuka Fungsional
",Netral
"
AHY: Mafia Tanah Sasaran Utama Kita Berantas!
",Negatif
"
Bahlil Blak-blakan soal Tudingan Upeti Tambang dan Cabut Ribuan IUP
",Negatif
"
Jokowi Targetkan 16 Ruas Tol Trans Sumatera Beroperasi Akhir 2024
",Positif
"
Malaysia Gratiskan Tarif Tol Saat Lebaran, Indonesia Gimana?
",Netral
"
Sinyal Harga Beras Turun Kian Kencang
",Negatif
"
Harga BBM Pertamina Tetap Saat Shell-BP Kompak Turun, Mana yang Paling Murah?
",Netral
"
Mau Mudik Perlu Perlindungan Asuransi Nggak Sih?
",Netral
"
Telur Ayam hingga Beras Sumbang Inflasi Maret
",Negatif
"
Warga Ramai-ramai Berburu Baju Lebaran di Pusat Grosir Cililitan
",Positif
"
Penting buat Pemudik! Akumulasi Tarif Tol Merak, Jakarta, hingga Probolinggo
",Netral
"
Pemudik Diimbau Transaksi di SPBU Pakai Nontunai, Ini Alasannya
",Netral
"
Debitur Terdampak COVID-19 di Bank Mandiri Masuk Tahap Normalisasi
",Positif
"
Kemenparekraf: Perputaran Ekonomi Lebaran Capai Rp 276,11 Triliun
",Positif
"
Tebar Sembako ke Panti Asuhan, Berbagi kebaikan di Bulan Ramadan
",netral
"
Ini Dugaan Penyebab Tol Bocimi Longsor
",Netral
"
Kondisi Terkini Usai Longsor Tol Bocimi, Waskita Toll Road Turun Tangan
",Negatif
"
PT Timah Buka Suara Respons Kasus Korupsi yang Lagi Jadi Sorotan
",Negatif
"
HPP Gabah & Beras Naik hingga 30 Juni, Ini Rinciannya
",Negatif
"
BPKH Berikan Dana untuk Revitalisasi 20 Masjid dan Musala di Terminal
",Netral
"
Kempit 34% Saham Vale, MIND ID Dapat Jatah 2 Direksi
",Netral
"
Nadiem Buka Suara soal Perdagangan Orang Berkedok Magang ke Jerman
",Negatif
"
Menteri ESDM Diprotes Gara-gara RI Cuma Kempit Saham Vale 34%
",Negatif
"
Berburu Amplop Lebaran untuk Berbagi Rezeki
",Netral
"
Terungkap Rencana Vale Investasi Ratusan Triliun di Indonesia
",Positif
"
Ketua MPR Minta Pemerintah Atasi Tingginya Harga Avtur
",Negatif
"
Ternyata Ini Penyebab Tol di RI Nggak Bisa Gratis Saat Mudik Seperti Malaysia
",Negatif
"
Penampakan Simulasi Mudik di Tol Solo-Yogyakarta yang Dibuka Fungsional
",Netral
"
AHY: Mafia Tanah Sasaran Utama Kita Berantas!
",Negatif
