Judul Berita,Label
"
Prabowo-Gibran Jadi Presiden dan Wapres Terpilih, Pengusaha Ingatkan PR Ini
",Netral
"
Bakal Dibangun Pabrik Biomassa di Blora, Puluhan Ribu Petani Dilibatkan
",Positif
"
BRI Sukses Cetak Laba Rp 15,98 T di Triwulan I 2024, Ini Pemicunya
",Positif
"
Wisma Atlet Kemayoran Direnovasi, Pagar Rusak hingga Ditumbuhi Semak Belukar
",Negatif
"
Prabowo-Gibran Presiden & Wapres Terpilih, Erick: Kemenangan Seluruh Rakyat
",Positif
"
Lembaga di New York Jajaki Kerja Sama Kembangkan AI dan IoT di IKN
",Netral
"
Kehabisan Tiket Kereta Antar-Kota? Coba Pakai Cara Ini
",Netral
"
UMKM Sumbang 61 Persen PDB
",Positif
"
RI Dapat Dukungan dari AS soal Protes UU Anti-Deforestasi Uni Eropa
",Netral
"
Harga Emas Turun Lagi!
",Negatif
"
AS Kasih 2 Pilihan ke TikTok, Divestasi atau Dilarang!
",Negatif
"
Kamis Pagi Dolar AS Menguat 0,19% ke Rp 16.180
",Netral
"
IHSG Dibuka di Zona Merah
",Negatif
"
Rp 180 T Menguap Gara-gara 1 Juta Orang RI Berobat ke Luar Negeri
",Negatif
"
Progres Terkini Pembangunan Tugu Nol Kilometer di Kalsel
",Netral
"
Jokowi Ungkap Fakta Alkes-Bahan Baku Obat di RI Masih Impor
",Negatif
"
Boeing Kena 'Pukulan' Telak, Pendapatan Turun-Peringkat Utang Anjlok
",Negatif
"
Geliat Industri Penerbangan Maroko
",Positif
"
Bos BI Bilang Rupiah Bisa Menguat ke Rp 15.800/US$, Kapan?
",Positif
"
Investasi Pabrik Biomassa di Kabupaten Blora
",Netral
"
Luhut Bentuk Tim Khusus Kereta Cepat ke Surabaya, Prabowo Lanjutkan Proyeknya
",Netral
"
Proyek MRT Sampai ke Tangsel Masih Angan-angan
",Negatif
"
Harga Bawang Merah Tembus Rp 80.000/Kg, Mendag Buka-bukaan Biang Keroknya
",Negatif
"
Mendag Bakal Musnahkan 3,6 Juta Batang Baja Senilai Rp 257 Miliar
",Negatif
"
Ini Kapal Hisap Pasir Laut yang Disegel KKP di Perairan Lamongan
",Negatif
"
Ada Konflik Israel-Iran, Keponakan Luhut Sebut Batu Bara Malah Dapat Angin Segar
",Positif
"
Penampakan Fuel Card 5.0 yang Jadi Alat buat Beli Pertalite di Batam
",Netral
"
Prediksi Sri Mulyani Ekonomi RI Tetap Tumbuh 5% Meski Dunia Gonjang-ganjing
",Positif
"
1.030 Motor Electrum Sudah Wira-wiri di Jalanan, Niat IPO?
",Netral
"
Luhut Dapat Tugas Baru dari Jokowi: Ketua Dewan Sumber Daya Air
",Netral
"
Inovasi Teknologi dan Solusi untuk Lingkungan Hijau
",Netral
"
KKP Beberkan Alasan Berhentikan Operasional Kapal Keruk Pasir di Lamongan
",Negatif
"
Jadi Ketua Kelompok Pinjaman, Epi Bakal Jadi Agen Bank
",Netral
"
AHY Sebut 2.086 Hektare Lahan di IKN Belum Jelas, Ini Kata PUPR
",Netral
"
Mulai Juni 2024, Beli Gas Elpiji 3 Kg Harus Pakai KTP
",Negatif
"
Gerbang Tol Tomang Ditutup Sementara, Simak Pengalihan Rutenya
",Netral
"
Pemerintah Mau Lanjutkan Kereta Cepat ke Surabaya, KCIC Operatornya?
",Netral
"
BRI Ungkap 3 Fakta Video Viral Nasabah Kehilangan Uang Rp 400 Juta
",Negatif
"
Indonesia Perkuat Kerja Sama Ketenagakerjaan dengan Arab Saudi
",Netral
"
Kemenkop UKM Minta Warung Madura di Klungkung Bali Taati Aturan Tak Buka 24 Jam
",Negatif
"
Hasil Riset: Cegah PHK Massal, Perusahaan RI Kompak Setop Rekrut Pegawai!
",Negatif
"
TOBA Putuskan Tak Bagikan Dividen, Pilih Kembangkan Bisnis
",Negatif
"
Basuki Pastikan Sistem Bayar Tol Tanpa Stop Bisa Diterapkan di Era Jokowi
",Positif
"
BNI dan Telkomsel Kerja Sama Pelayanan buat Pegawai
",Netral
"
Akhir Pekan IHSG Masih Kebakaran
",Negatif
"
Menaker Harap Dokumen Program K3 Bisa Tingkatkan Keselamatan Kerja
",Netral
"
Ini Kabar Buruk yang Dibawa Sri Mulyani Usai dari AS
",Negatif
"
TOBA Gelar RUPST, Mantan Dirjen Pajak Diangkat Lagi Jadi Komisaris
",Netral
"
Pembangunan Kantor Presiden di IKN Sudah Tuntas 82%!
",Netral
"
Kemendagri Izinkan BKPM Akses Data Kependudukan untuk Keperluan Perizinan
",Netral
"
Pantas Stasiun Kereta Cepat Karawang Belum Dibuka, Ternyata karena Ini
",Negatif
"
Emiten Kapal Ini Tebar Dividen Rp 196 M
",Positif
"
Cara Buka SPBU Pertamina: Modal Investasi dan Syaratnya
",Netral
"
Kepala BP Batam Yakini Pertumbuhan Industri Tingkatkan Ekonomi Masyarakat
",Positif
"
Sri Mulyani Buka Suara soal Heboh Kasus Beli Sepatu Rp 10 Juta Kena Pajak Rp 31 Juta
",Negatif
"
Tips dari Bea Cukai Agar Beli Barang Impor Lewat Online Tak Kena Sanksi
",Netral
"
Berburu Emas Batangan di Bali Kini Makin Mudah
",Positif
"
Bakal Ada 3 Akses Baru ke Stasiun Kereta Cepat Karawang
",Netral
"
Geopolitik Global Lagi Panas, Ini Langkah PGN Amankan Kebutuhan Energi Industri
",Netral
"
13 Merek Lokal yang Mendunia, Sering Dikira Produk Asing
",Positif
"
Melihat Langsung Stasiun Kereta Cepat Karawang yang Dikelilingi Sawah
",Netral
"
Aksi Berbagi Maknai Hari Jadi
",Netral
"
Zulhas Sebut Baja Tak Sesuai SNI Bisa Bikin Bangunan-Jalanan Roboh
",Negatif
"
Kemenkeu Kantongi Rp 112 M dari Pajak Kripto Sejak Awal 2024
",Positif
"
Tanya Sabrina Aja untuk Cara Mudah Mencari AgenBRILink Terdekat
",Netral
"
Bandara Internasional RI Dipangkas Jadi 17, Ini Daftarnya
",Netral
"
Ini Alasan Bea Cukai Kenakan Denda hingga 1.000% Terhadap Importir Barang Kiriman
",Negatif
"
Melihat Pusat Penjualan Ikan Teri Medan
",Netral
"
10 Daftar Negara Pemberi Utang Luar Negeri 2024, Meningkat Tapi Masih Terkendali
",Netral
"
Basuki Ungkap Korea Selatan Mau Hibahkan Instalasi Air buat IKN!
",Positif
"
Raih TKDN, Komitmen LG Dukung Digital Display untuk Bisnis-Pendidikan
",Netral
"
Wow! Ada Lowongan Peluk Kucing 4 Jam Dibayar Rp 162 Juta
",Positif
"
Kapan Stasiun Kereta Cepat Karawang Bisa Layani Penumpang?
",Netral
"
Rumah Menteri di IKN Ditargetkan Selesai Dibangun Juli 2024!
",Netral
"
Zulhas Ungkap Ada 40 Perusahaan Produksi Baja Tak Sesuai Standar
",Negatif
"
BI Rate Naik, BRI Tetap Optimis Penyaluran Kredit Tumbuh Double Digit
",Positif
"
Zulhas Bakal Musnahkan 3,6 Juta Baja Tak Sesuai SNI Senilai Rp 257 M!
",Negatif
"
13,68 Juta Wajib Pajak Sudah Laporan SPT, Awas yang Belum Bisa Kena Denda!
",Negatif
"
Anggaran Bangun IKN Rp 39,6 T di 2024, Baru Terealisasi Rp 4,3 T
",Negatif
"
Pulang dari AS, Sri Mulyani Bawa Kabar Buruk!
",Negatif
"
Bos Bea Cukai Sebut Kasus Sepatu Rp 10 Juta Kena Pajak Rp 31 Juta Sudah Selesai
",Netral
"
Viral Beli Sepatu Rp 10 Juta Kena Pajak Rp 31 Juta, Ini Respons Bos Bea Cukai
",Negatif
"
Penampakan Mobil Rubicon Bekas Mario Dandy yang Tak Laku Dilelang
",Negatif
"
Kartu Debit Nirsentuh Bank Muamalat untuk Jemaah Haji
",Netral
"
Mobil Rubicon Bekas Mario Dandy Dilelang Ulang Pekan Depan, Harga Turun!
",Negatif
"
Kena Deh! KKP Tangkap Kapal Malaysia yang Curi Ikan di Selat Malaka
",Negatif
"
Sri Mulyani Sebut Ekonomi Global Bakal Stagnan Tahun Ini
",Negatif
"
AHY Pastikan Pembebasan Lahan di IKN Tak Asal Gusur
",Netral
"
Pemerintah Sudah Tarik Utang Rp 104 T hingga Maret 2024
",Negatif
"
Rubicon Mario Dandy Nggak Laku Dilelang, Diduga Gegara Mahal-Viral
",Negatif
"
Sri Mulyani Lapor Penerimaan Cukai RI Anjlok, Gegara Tembakau hingga Perang
",Negatif
"
Potret Mengenalkan Literasi Keuangan Sejak Dini
",Netral
"
RI-Vietnam Bakal Sepakati Perjanjian Ketahanan Pangan
",Netral
"
Jokowi Bakal Ketemu PM Singapura Senin Depan, Mau Bahas Investasi IKN
",Netral
"
BI Ramal KPR dan Kredit Motor-Mobil Masih Kencang
",Positif
"
Mobil Rubicon Bekas Mario Dandy Nggak Laku Dilelang!
",Negatif
"
Pemerintah Sudah Habiskan Rp 43 T buat Bagi-bagi Bansos dalam 3 Bulan
",Negatif
"
Pemilu 2024 Selesai, Anggarannya Masih Sisa Rp 12,3 T
",Positif
"
Perusahaan Induk Google Umumkan Bagi-bagi Dividen
",Positif
"
Sri Mulyani Lapor Ada Dana Pemda Ngendap di Bank Rp 180,9 T
",Negatif
"
Penerimaan Pajak Tembus Rp 393 T hingga Maret, Setoran Migas Masih Loyo
",Positif
"
Dilarang Buka 24 Jam, Anggota DPR: Warung Madura Gerakkan Ekonomi Rakyat
",Netral
"
Rupiah Keok Lawan Dolar AS, Sri Mulyani: Ada yang Lebih Parah
",Negatif
"
Konflik Israel-Iran Bikin Dunia Waswas, Sri Mulyani Ingatkan RI Bisa Kena Imbas
",Negatif
"
Bank Jago Cetak Laba Rp 22 M di Awal Tahun
",Positif
"
Sri Mulyani Sudah Habiskan Rp 70,7 T buat Bayar Gaji-THR PNS
",Netral
"
The Fed Diprediksi Tahan Suku Bunga, Arus Modal Rp 29,63 T Cabut dari RI
",Negatif
"
Gaji Mark Zuckerberg Sebagai CEO Meta Cuma Rp 16.200, tapi...
",Netral
"
Setoran Negara Seret, APBN Masih Surplus Rp 8,1 T
",Negatif
"
Canggih, Petani Indramayu Semprotkan Pertisida Pakai Drone
",Netral
"
Siap-siap! Biaya Layanan Merchant Tokopedia Naik Per 1 Mei 2024 Jadi Segini
",Negatif
"
Jumat Pagi Dolar AS Menguat 0,33% ke Rp 16.185
",Negatif
"
ByteDance Ogah Jual TikTok ke AS, Pilih Tutup Aplikasi!
",Negatif
"
Akhir Pekan, IHSG Masih Betah di Zona Merah
",Negatif
"
Pertumbuhan Ekonomi AS Turun Tajam Jadi 1,6%
",Negatif
"
Program Makan Siang Prabowo-Gibran Butuh Beras 6,7 Juta Ton/Tahun
",Netral
"
Pengumuman! Harga Bawang Merah Turun Seminggu Lagi
",Negatif
"
Meretas 'Sumur Cuan' Indonesia untuk Penyimpanan Karbon
",Netral
"
Wisma Atlet Kemayoran yang Terbengkalai Mau Direnovasi
",Netral
"
Program Unggulan Prabowo-Gibran Masuk APBN 2025, Jokowi Beri Wejangan
",Positif
"
Bisnis Kura Kura Darat yang Bikin Dompet Gemuk
",Positif
"
Siuuu! Hari Ini Kemenkeu Lelang Rubicon Mario Dandy Rp 809 Juta
",Negatif
"
Tepatkah Bea Cukai Tagih Ratusan Juta Alat Belajar SLB Hasil Hibah?
",Negatif
"
Lagi Cari Tangga? Langsung ke Transmart Full Day Sale, Diskon Rp 700 Ribu
",Positif
"
Beli Sepeda di Transmart Full Day Sale Harganya Nggak Bikin Dompet Tipis
",Positif
"
Pihak SLB Ungkap Kronologi Alat Belajar Hibah Ditagih Ratusan Juta oleh Bea Cukai
",Negatif
"
Beli Sofa Empuk di Transmart Full Day Sale Diskon Rp 2 Juta
",Positif
"
Aneka Rak Harga Miring Mulai dari Rp 200 Ribuan di Transmart Full Day Sale
",Positif
"
Pihak SLB yang Alat Belajarnya Ditagih Ratusan Juta oleh Bea Cukai Buka Suara
",Negatif
"
Influencer Keluhkan Mainan buat Review Tertahan, Bea Cukai Beri Penjelasan
",Negatif
"
Beli Kulkas di Transmart Full Day Sale Diskon Rp 3 Juta
",Positif
"
Harga Bawang Merah Mulai Turun di Palu
",Positif
"
AC Split 1/2 PK + Pipa & Instalasi Rp 2,7 Juta Cuma di Transmart Full Day Sale
",Positif
"
Tingkatkan AI, BRI Gaet Microsoft agar Layanan Semakin Canggih
",Positif
"
Akar Masalah Alat Belajar SLB Ditagih Ratusan Juta Versi Bea Cukai
",Negatif
"
Pemerintah AS Periksa Rempah Asal India, Ada Masalah Apa?
",Negatif
"
Cuma Transmart Full Day Sale! Smart TV 65 Inch Rp 11 Juta, Diskon Jadi Rp 7 Juta
",Positif
"
Pembangkit Listriknya Dihancurkan Rusia, Ukraina Jadi Sering Mati Lampu
",Negatif
"
Setop Wira-wiri Cari Sepeda Listrik! Ke Transmart Full Day Sale Aja, Banjir Diskon
",Positif
"
Bea Cukai Cek Kronologi Alat SLB Bantuan Korea yang Viral Ditagih Ratusan Juta
",Negatif
"
Gasss Terus! Transmart Full Day Sale Hadir Lagi Besok, Diskon Melimpah
",Positif
"
InDrive Rayakan Hari Kartini
",Netral
"
AHY Bagi-bagi Sertifikat Tanah di Kendari
",Netral
"
Bagi-bagi Sertifikat, AHY Ajak Masyarakat Lawan Mafia Tanah
",Netral
"
Luhut Buka-bukaan Rencana RI Buka Jalur Ekspor Ekspres ke China
",Positif
"
Orang Tua Diminta Tak Jadikan Anak Investasi buat Hari Tua
",Negatif
"
Viral Alat Belajar SLB Bantuan Korea Ditagih Ratusan Juta, Ini Respons Bea Cukai
",Negatif
"
Belanja Kebutuhan Rumah Makin Nyaman dan Menyenangkan
",Positif
"
Mau Buka Indomaret Sendiri? Siapkan Duit Segini!
",Netral
"
AS Bikin Pesawat Tempur 'Anti Kiamat', Harganya Lebih dari Rp 211 T
",Negatif
"
Jumlah Bandara Internasional RI Dikurangi Jadi 17, Ini Alasannya
",Netral
"
BLT Mitigasi Risiko Pangan Tak Kunjung Cair, Ini Dalih Airlangga
",Negatif
"
Kemenkop UKM Pastikan Tak Ada Larangan Warung Madura Buka 24 Jam
",Netral
"
Pertama Kali dalam Sejarah, Induk Google Bagi-bagi Dividen
",Positif
"
Begini Kondisi APBN yang Menurut Sri Mulyani Seperti Timnas U-23
",Netral
"
Tiket MotoGP Mandalika Diskon 50%, Harganya Jadi Segini
",Positif
"
Daftar Terbaru Bandara Internasional di RI, Jateng Kini Tak Punya
",Negatif
"
Ingin Menjadi Teller Bank? Ini Syarat, Tanggung Jawab, dan Gajinya
",Netral
"
Penasaran Cara Isi Bahan Bakar Kereta? Ternyata Begini Prosesnya
",Netral
"
Wajib Tahu! Begini Cara Berobat Gigi Pakai BPJS Kesehatan
",Netral
"
Sri Mulyani Bicara Kualitas Guru RI: Ini Tantangan Besar Kita
",Netral
"
Awas! Ini Terjadi Jika Peserta Tak Bayar Denda BPJS Kesehatan
",Negatif
"
Sanksi Buat Rusia Bikin Bank Terbesar AS Ini Malah Kena Getahnya
",Negatif
"
Mata Uang Dubai (Dirham Uni Emirat Arab), serta Tips Saat Menukar Uang Asing
",Netral
"
Viral Kasus Sepatu Kena Pajak Rp 31 Juta, Ini Tips Hindari Denda Impor Bea Cukai
",Negatif
"
Sri Mulyani Sebut Kondisi APBN Seperti Timnas U-23
",Netral
"
Tol Trans Sumatera 'Disuntik' Rp 18 T, Intip Progres Terkininya
",Netral
"
Jelang Masa Jabatan Jokowi Berakhir, 28 Bendungan Dibangun!
",Positif
"
Bisakah RI Ulang Cara Habibie Pulihkan Rupiah hingga ke Rp 6.500/US$?
",Netral
"
Dahsyat! Harga Emas Hari Ini Naik, Cek Rinciannya di Sini
",Positif
"
Upaya Petani Indramayu Dukung Pemerintah Stabilkan Harga Bawang Merah
",Netral
"
Melihat Stok Beras di Gudang Bulog Bengkulu
",Netral
"
Pembangunan IKN Dikebut buat Upacara 17 Agustus, Begini Progresnya
",Netral
"
Pria Ini 'Sulap' Limbah Jadi Paving Block cs, Omzetnya Ratusan Juta!
",Positif
"
Sri Mulyani Wanti-wanti Dampak Buruk Konflik Iran Vs Israel
",Negatif
"
BRI Hadirkan Promo Spesial Diskon 25% hingga Beli 1 Gratis 1 di Janji Jiwa
",Positif
"
3,6 Juta Batang Baja Senilai Rp 257 Miliar Bakal Dimusnahkan!
",Negatif
"
Potret Stasiun Kereta Cepat Karawang yang Belum Dibuka
",Netral
"
Kata Sri Mulyani & Bos Bea Cukai soal Viral Sepatu Rp 10 Juta Kena Pajak Rp 31 Juta
",Negatif
"
Terkuak Penyebab Stasiun Kereta Cepat Karawang Tak Kunjung Dibuka
",Negatif
"
Bawa Kabar Buruk Usai dari AS, Sri Mulyani Ungkap Beban Utang Negara Berkembang
",Negatif
"
Importir Jangan Main-main! Ada Denda hingga 1.000% Jika Lakukan Ini
",Negatif
"
Nggak Laku, Rubicon Eks Mario Dandy Dilelang Ulang Lebih Murah
",Negatif
"
Anak BUMN Ikut Geber Bisnis Startup, Begini Caranya
",Netral
"
Viral Konsumen Pakai Jeriken Salip Antrean Beli BBM, Pertamina Ungkap Faktanya
",Negatif
"
Batam Punya Kartu Khusus buat Beli Pertalite, Begini Cara Kerjanya
",Netral
"
Pengusaha Ungkap 3 Keuntungan Bandara Internasional Dipangkas
",Negatif
"
Murah Meriah, Pengunjung Serbu Area Sepatu-Sandal di Transmart Cempaka Putih
",Positif
"
AP II Sebut Penetapan 17 Bandara Internasional Makin Perkuat Konektivitas
",Positif
"
Sri Mulyani Bicara Tugas Bea Cukai: Ganggu Kenyamanan Masyarakat Demi Jaga Ekonomi
",Negatif
"
Pria Ini Senang Borong AC di Transmart Full Day Sale, Hemat Rp 3 Jutaan
",Positif
"
Batam Punya Kartu Khusus buat Beli Pertalite, Daerah Lain Bagaimana?
",Netral
"
Potensi Jumbo Perikanan RI Bakal Terungkap di Acara Ini, Jangan Kelewatan!
",Positif
"
Beli Tangga Multifungsi di Transmart Full Day Sale Hemat Rp 700 Ribuan
",Netral
"
Serbu! Kaos Pria di Transmart Full Day Sale Mulai Rp 80 Ribuan Aja
",Netral
"
Diskon Besar Perabotan Rumah di Transmart Full Day Sale
",Positif
"
Ada Kartu Khusus buat Beli Pertalite, Pertamina Buka Suara
",Netral
"
Wow! Beli Sofa di Transmart Full Day Sale Bisa Hemat Rp 2 Jutaan
",Positif
"
Tetap Operasi Usai Gempa Garut, Begini Kekuatan Infrastruktur Whoosh
",Netral
"
Asyik! Beli Kulkas 2 Pintu di Transmart Full Day Sale Dapat Potongan Rp 3,4 Jutaan
",Positif
"
Perjalanan KRL Lintas Bogor Sempat Terganggu Imbas Gempa Garut
",Negatif
"
Ada Transmart Full Day Sale, Pengunjung Serbu Transmart Cempaka Putih
",Positif
"
Dorong UMKM Tumbuh, Waka Komisi XI: Pemda Harus Giat Gandeng Investor
",Positif
"
Beli Daging Ayam Broiler di Transmart Full Day Sale Mulai Rp 27 Ribuan
",Netral
"
Viral Sepatu Rp 10 Juta Kena Pajak Rp 31 Juta, Sri Mulyani: Denda Dibayar DHL
",Negatif
"
Sri Mulyani Minta Bea Cukai Berbenah Usai Banyak Kasus Viral!
",Negatif
"
Progres Proyek LRT Manggarai Tembus 10%, Kelar 2026
",Netral
"
Sri Mulyani Rela Malam Minggu Rapat di Bea Cukai Gegara Banyak Kasus Viral!
",Negatif
"
AC Diskon Gede-gedean Transmart Full Day Sale, Hemat Rp 1,3 Jutaan
",Positif
"
Akhirnya! Alat Belajar SLB yang Tertahan Bea Cukai Bakal Bebas Bea Masuk
",Positif
"
Sri Mulyani Jelaskan Duduk Perkara Alat Belajar SLB Ditagih Bea Cukai Ratusan Juta
",Negatif
"
Kisah Pemilik Ayam Bakar Madu Hijrah, dari Posisi Top Manajemen Jadi Pengusaha
",Netral
"
Tips Dagang Ala Ayam Bakar Madu Hijrah, Ada 'Sedekah Langit'
",Negatif
"
Merapat! Cuma di Transmart Full Day Sale Piring-Gelas Cantik Rp 15 Ribuan
",Positif
"
Kemenkop UKM Pastikan Tak Ada Larangan Warung Madura Operasi 24 Jam
",Netral
"
Diskon Gede-gedean! Beli TV LED di Transmart Full Day Sale Hemat Rp 4 Jutaan
",Positif
"
Integrasi TikTok Shop-Tokopedia Rampung, Kominfo: Tujuannya Lindungi UMKM
",Netral
"
Stasiun Karawang Masih Minim Akses, KCIC Mau Bikin Ini
",Netral
"
Murah Banget! Anggur Red Globe di Transmart Full Day Sale Mulai dari Rp 6 Ribuan
",Positif
"
5 Perjalanan Kereta Sempat Disetop Sementara Imbas Gempa di Garut
",Negatif
"
Gelombang PHK Terpa Karyawan Smelter Timah di Babel
",Negatif
"
Ibu-ibu Merapat! Beli Popok Bayi di Transmart Full Day Sale Hemat Rp 66 Ribuan
",Positif
"
Mainan Influencer yang Sempat Tertahan Rusak, Ini Kata Bea Cukai
",Negatif
"
Hasilkan 216.148 Ton Bawang Merah, Solok Pasok 10,9% Produksi Nasional
",Positif
"
Wow! Beli Sepatu-Sandal di Transmart Full Day Sale Cuma Rp 170 Ribuan
",Positif
"
Sosok Hendry Lie, Pendiri Sriwijaya Air yang Tersangkut Kasus Korupsi Timah
",Negatif
"
Murah Bener! Cuma di Transmart Full Day Sale Sepeda Listrik Rp 3 Jutaan
",Positif
"
Melihat Budi Daya Karang dengan Aquarium Air Asin
",Netral
"
Banyak Kasus Viral Tentang Pelayanan Bea Cukai, Sri Mulyani Rapat Malam-malam
",Negatif
"
Andil Besar Bojonegoro Stabilkan Harga Bawang Merah di Jatim
",Positif
"
Di Hannover Messe, RI Buka Peluang Kolaborasi Kembangkan SDM Bareng IFM
",Netral
"
Rincian 28 Proyek Bendungan di Akhir Masa Jabatan Jokowi
",Netral
"
PLN Akan Tambah Lima SPKLU di Maluku dan Maluku Utara
",Netral
"
Penjelasan Bea Cukai Vs Respons SLB yang Alat Belajarnya Ditagih Ratusan Juta
",Negatif
"
Kerap Bikin Uang Melayang, Ini 5 Modus Penipuan Soceng di Indonesia
",Negatif
"
3 Keluhan Netizen yang Viral dan Akhirnya Dijawab Bea Cukai
",Netral
"
Diskon Melimpah 50% + 20% di Transmart Full Day Sale Hari Ini, Yuk Serbu!
",Positif
"
Melihat Budi Daya Ayam Petelur di Aceh
",Netral.
"
Cara Kerja di Jepang Lewat Program Pekerja Berketerampilan Spesifik
",Netral
"
Rusia Balas Dendam ke AS, Bank Raksasa Kena Getahnya
",Negatif
"
Wow! Suvenir Wayang Ini Dibuat dari Kulit Jagung
",Netral
"
Eks Karyawan Banting Setir 'Sulap' Kaleng Cat Jadi Bangku, Raup Puluhan Juta
",Positif
"
OJK Cabut Sanksi Pembatasan Kegiatan Usaha Pialang Asuransi Ini
",Positif
"
Pembangunan MRT Jakarta Fase 2 Terus Dikebut
",Positif
"
Penjualan Jersei Timnas Indonesia Meningkat Tajam
",Positif
"
Momen Bea Cukai Serahkan Alat Belajar SLB yang Viral Ditagih Ratusan Juta
",Negatif
"
Begini Strategi BRI Agar 40 Juta Nasabah Pakai BRImo Tahun Ini
",Netral
"
Harga Rumput Laut Turun, Ini Biang Keroknya
",Negatif
